Elements,Density_1,Density_2,Melting_1,Melting_2,Number_1,Number_2,Eneg_1,Eneg_2,Valence_1,Valence_2,Radius_1,Radius_2,Magnetic_1,Magnetic_2,Vacancy_11,Vacancy_12,Vacancy_13,Vacancy_21,Vacancy_22,Vacancy_23,Density_Fe,Melting_Fe,Eneg_Fe,Number_Fe,Radius_Fe,Valence_Fe,Distance_sub_sub,Energy_binding
Si-Sc,2.3296,2.99,1687.15,1814.15,14,21,1.9,1.36,4,3,138.0,162.0,-0.079,-0.482,0.295,0.125,0.004,0.709,-0.121,0.08,7.87,1811.15,1.83,26,126.0,8,2.675891717325756,-0.045
Si-Ti,2.3296,4.506,1687.15,1943.15,14,22,1.9,1.54,4,4,138.0,147.0,-0.074,-0.892,0.295,0.125,0.004,0.261,-0.16,0.016,7.87,1811.15,1.83,26,126.0,8,2.6280377060328495,-0.134
Si-V,2.3296,6.0,1687.15,2183.15,14,23,1.9,1.63,4,5,138.0,134.0,-0.07,-1.39,0.295,0.125,0.004,0.056,-0.086,-0.008,7.87,1811.15,1.83,26,126.0,8,2.596712911849762,-0.141
Si-Cr,2.3296,7.15,1687.15,2180.15,14,24,1.9,1.66,4,6,138.0,128.0,-0.067,-1.94,0.295,0.125,0.004,0.05,0.005,-0.002,7.87,1811.15,1.83,26,126.0,8,2.574744593391752,-0.071
Si-Mn,2.3296,7.3,1687.15,1519.15,14,25,1.9,1.55,4,7,138.0,127.0,-0.066,-2.289,0.295,0.125,0.004,0.132,0.094,0.019,7.87,1811.15,1.83,26,126.0,8,2.540555484552363,0.069
Si-Co,2.3296,8.86,1687.15,1768.15,14,27,1.9,1.88,4,9,138.0,125.0,-0.082,1.548,0.295,0.125,0.004,-0.01,0.113,0.016,7.87,1811.15,1.83,26,126.0,8,2.45616492719942,0.027
Si-Ni,2.3296,8.9,1687.15,1728.15,14,28,1.9,1.91,4,10,138.0,124.0,-0.081,0.735,0.295,0.125,0.004,0.105,0.22,0.046,7.87,1811.15,1.83,26,126.0,8,2.452700189753833,0.143
Si-Cu,2.3296,8.96,1687.15,1357.77,14,29,1.9,1.9,4,11,138.0,128.0,-0.083,0.119,0.295,0.125,0.004,0.254,0.219,0.054,7.87,1811.15,1.83,26,126.0,8,2.4873255747993386,0.178
Si-Zn,2.3296,7.134,1687.15,692.6769999999999,14,30,1.9,1.65,4,12,138.0,134.0,-0.083,-0.072,0.295,0.125,0.004,0.327,0.112,0.043,7.87,1811.15,1.83,26,126.0,8,2.587440611415648,-0.046
Si-Ga,2.3296,5.91,1687.15,302.91459999999995,14,31,1.9,1.81,4,3,138.0,140.0,-0.083,-0.163,0.295,0.125,0.004,0.403,0.093,0.04,7.87,1811.15,1.83,26,126.0,8,2.665303803389595,-0.209
Si-Ge,2.3296,5.3234,1687.15,1211.4,14,32,1.9,2.01,4,4,138.0,144.0,-0.085,-0.113,0.295,0.125,0.004,0.467,0.158,0.031,7.87,1811.15,1.83,26,126.0,8,2.7125754088995646,-0.334
Si-As,2.3296,5.75,1687.15,1090.15,14,33,1.9,2.18,4,5,138.0,148.0,-0.088,-0.065,0.295,0.125,0.004,0.536,0.228,0.011,7.87,1811.15,1.83,26,126.0,8,2.780351787037968,-0.416
Si-Se,2.3296,4.819,1687.15,494.15,14,34,1.9,2.55,4,6,138.0,140.0,-0.09,-0.011,0.295,0.125,0.004,0.675,0.308,0.014,7.87,1811.15,1.83,26,126.0,8,2.8662479119243076,-0.339
Si-Zr,2.3296,6.52,1687.15,2127.15,14,40,1.9,1.33,4,4,138.0,160.0,-0.074,-0.41,0.295,0.125,0.004,0.745,-0.091,0.065,7.87,1811.15,1.83,26,126.0,8,2.699992504563193,-0.167
Si-Nb,2.3296,8.57,1687.15,2750.15,14,41,1.9,1.6,4,5,138.0,146.0,-0.07,-0.697,0.295,0.125,0.004,0.395,-0.142,0.053,7.87,1811.15,1.83,26,126.0,8,2.653941552267348,-0.176
Si-Mo,2.3296,10.2,1687.15,2895.15,14,42,1.9,2.16,4,6,138.0,139.0,-0.067,-0.79,0.295,0.125,0.004,0.17,-0.117,0.026,7.87,1811.15,1.83,26,126.0,8,2.6113112697483527,-0.157
Si-Ru,2.3296,12.1,1687.15,2606.15,14,44,1.9,2.2,4,8,138.0,134.0,-0.071,0.133,0.295,0.125,0.004,0.122,0.017,0.047,7.87,1811.15,1.83,26,126.0,8,2.4943702672421004,0.053
Si-Rh,2.3296,12.4,1687.15,2236.15,14,45,1.9,2.28,4,9,138.0,134.0,-0.077,0.511,0.295,0.125,0.004,0.157,0.11,0.066,7.87,1811.15,1.83,26,126.0,8,2.4763421270837718,0.13
Si-Pd,2.3296,12.0,1687.15,1827.9499999999998,14,46,1.9,2.2,4,10,138.0,137.0,-0.081,0.304,0.295,0.125,0.004,0.294,0.217,0.106,7.87,1811.15,1.83,26,126.0,8,2.498947801764962,0.172
Si-Sn,2.3296,7.287,1687.15,505.08,14,50,1.9,1.96,4,4,138.0,163.0,-0.083,-0.186,0.295,0.125,0.004,0.758,0.114,0.109,7.87,1811.15,1.83,26,126.0,8,2.7542375836345268,-0.353
Si-Sb,2.3296,6.68,1687.15,903.778,14,51,1.9,2.05,4,5,138.0,166.0,-0.084,-0.09,0.295,0.125,0.004,0.749,0.131,0.058,7.87,1811.15,1.83,26,126.0,8,2.7876217561897905,-0.511
Si-Te,2.3296,6.232,1687.15,722.66,14,52,1.9,2.1,4,6,138.0,160.0,-0.084,-0.062,0.295,0.125,0.004,0.801,0.196,0.031,7.87,1811.15,1.83,26,126.0,8,2.835414541764922,-0.593
Si-Hf,2.3296,13.3,1687.15,2506.15,14,72,1.9,1.3,4,4,138.0,159.0,-0.074,-0.518,0.295,0.125,0.004,0.646,-0.148,0.073,7.87,1811.15,1.83,26,126.0,8,2.697192967890729,-0.184
Si-Ta,2.3296,16.4,1687.15,3290.15,14,73,1.9,1.5,4,5,138.0,146.0,-0.069,-0.72,0.295,0.125,0.004,0.321,-0.18,0.04,7.87,1811.15,1.83,26,126.0,8,2.661452607578328,-0.242
Si-W,2.3296,19.3,1687.15,3687.15,14,74,1.9,1.7,4,6,138.0,139.0,-0.066,-0.742,0.295,0.125,0.004,0.129,-0.149,0.016,7.87,1811.15,1.83,26,126.0,8,2.6236641439490804,-0.249
Si-Re,2.3296,20.8,1687.15,3458.15,14,75,1.9,1.9,4,7,138.0,137.0,-0.065,-0.604,0.295,0.125,0.004,0.077,-0.088,0.01,7.87,1811.15,1.83,26,126.0,8,2.579483008074231,-0.204
Si-Os,2.3296,22.5872,1687.15,3306.15,14,76,1.9,2.2,4,8,138.0,135.0,-0.067,-0.204,0.295,0.125,0.004,0.091,-0.016,0.02,7.87,1811.15,1.83,26,126.0,8,2.5246084828416215,-0.093
Si-Ir,2.3296,22.5622,1687.15,2719.15,14,77,1.9,2.2,4,9,138.0,136.0,-0.074,0.346,0.295,0.125,0.004,0.135,0.081,0.057,7.87,1811.15,1.83,26,126.0,8,2.4947828983004285,0.031
Si-Pt,2.3296,21.5,1687.15,2041.35,14,78,1.9,2.2,4,10,138.0,139.0,-0.079,0.315,0.295,0.125,0.004,0.262,0.205,0.094,7.87,1811.15,1.83,26,126.0,8,2.5117829911721845,0.057
Si-Au,2.3296,19.3,1687.15,1337.33,14,79,1.9,2.4,4,11,138.0,144.0,-0.082,0.132,0.295,0.125,0.004,0.457,0.297,0.138,7.87,1811.15,1.83,26,126.0,8,2.5814583901074593,0.051
Si-U,2.3296,19.1,1687.15,1408.15,14,92,1.9,1.7,4,6,138.0,170.0,-0.071,-1.283,0.295,0.125,0.004,1.248,0.229,0.073,7.87,1811.15,1.83,26,126.0,8,2.8516290429132014,-0.493
Si-Np,2.3296,20.2,1687.15,917.15,14,93,1.9,1.3,4,7,138.0,171.0,-0.072,-2.68,0.295,0.125,0.004,1.286,0.247,0.055,7.87,1811.15,1.83,26,126.0,8,2.8353071160437295,-0.471
P-P,2.69,2.69,689.15,689.15,15,15,2.19,2.19,5,5,128.0,128.0,-0.054,-0.054,0.369,0.256,-0.021,0.369,0.256,-0.021,7.87,1811.15,1.83,26,126.0,8,2.981192188490754,-0.317
P-S,2.69,2.07,689.15,388.36,15,16,2.19,2.58,5,6,128.0,127.0,-0.059,0.013,0.369,0.256,-0.021,0.573,0.377,0.004,7.87,1811.15,1.83,26,126.0,8,3.0706514576345936,0.042
P-Sc,2.69,2.99,689.15,1814.15,15,21,2.19,1.36,5,3,128.0,162.0,-0.04,-0.469,0.369,0.256,-0.021,0.709,-0.121,0.08,7.87,1811.15,1.83,26,126.0,8,2.6593357922965595,0.151
P-Ti,2.69,4.506,689.15,1943.15,15,22,2.19,1.54,5,4,128.0,147.0,-0.036,-0.896,0.369,0.256,-0.021,0.261,-0.16,0.016,7.87,1811.15,1.83,26,126.0,8,2.6096051073585453,-0.012
P-V,2.69,6.0,689.15,2183.15,15,23,2.19,1.63,5,5,128.0,134.0,-0.033,-1.411,0.369,0.256,-0.021,0.056,-0.086,-0.008,7.87,1811.15,1.83,26,126.0,8,2.576692521517581,-0.066
P-Cr,2.69,7.15,689.15,2180.15,15,24,2.19,1.66,5,6,128.0,128.0,-0.032,-1.988,0.369,0.256,-0.021,0.05,0.005,-0.002,7.87,1811.15,1.83,26,126.0,8,2.5536335637051413,-0.023
P-Mn,2.69,7.3,689.15,1519.15,15,25,2.19,1.55,5,7,128.0,127.0,-0.034,-2.362,0.369,0.256,-0.021,0.132,0.094,0.019,7.87,1811.15,1.83,26,126.0,8,2.5065072419986754,0.117
P-Co,2.69,8.86,689.15,1768.15,15,27,2.19,1.88,5,9,128.0,125.0,-0.051,1.516,0.369,0.256,-0.021,-0.01,0.113,0.016,7.87,1811.15,1.83,26,126.0,8,2.438582940217641,0.015
P-Ni,2.69,8.9,689.15,1728.15,15,28,2.19,1.91,5,10,128.0,124.0,-0.052,0.713,0.369,0.256,-0.021,0.105,0.22,0.046,7.87,1811.15,1.83,26,126.0,8,2.458764259496119,0.133
P-Cu,2.69,8.96,689.15,1357.77,15,29,2.19,1.9,5,11,128.0,128.0,-0.055,0.126,0.369,0.256,-0.021,0.254,0.219,0.054,7.87,1811.15,1.83,26,126.0,8,2.5509816807043446,0.161
P-Zn,2.69,7.134,689.15,692.6769999999999,15,30,2.19,1.65,5,12,128.0,134.0,-0.055,-0.074,0.369,0.256,-0.021,0.327,0.112,0.043,7.87,1811.15,1.83,26,126.0,8,2.682515086514631,-0.058
P-Ga,2.69,5.91,689.15,302.91459999999995,15,31,2.19,1.81,5,3,128.0,140.0,-0.055,-0.172,0.369,0.256,-0.021,0.403,0.093,0.04,7.87,1811.15,1.83,26,126.0,8,2.760335159880165,-0.211
P-Ge,2.69,5.3234,689.15,1211.4,15,32,2.19,2.01,5,4,128.0,144.0,-0.055,-0.121,0.369,0.256,-0.021,0.467,0.158,0.031,7.87,1811.15,1.83,26,126.0,8,2.83204117597705,-0.32
P-As,2.69,5.75,689.15,1090.15,15,33,2.19,2.18,5,5,128.0,148.0,-0.052,-0.067,0.369,0.256,-0.021,0.536,0.228,0.011,7.87,1811.15,1.83,26,126.0,8,2.9196530827341554,-0.336
P-Se,2.69,4.819,689.15,494.15,15,34,2.19,2.55,5,6,128.0,140.0,-0.055,-0.015,0.369,0.256,-0.021,0.675,0.308,0.014,7.87,1811.15,1.83,26,126.0,8,2.985352087264719,-0.179
P-Zr,2.69,6.52,689.15,2127.15,15,40,2.19,1.33,5,4,128.0,160.0,-0.035,-0.407,0.369,0.256,-0.021,0.745,-0.091,0.065,7.87,1811.15,1.83,26,126.0,8,2.6789948354260127,0.051
P-Nb,2.69,8.57,689.15,2750.15,15,41,2.19,1.6,5,5,128.0,146.0,-0.032,-0.702,0.369,0.256,-0.021,0.395,-0.142,0.053,7.87,1811.15,1.83,26,126.0,8,2.6330391405816567,-0.038
P-Mo,2.69,10.2,689.15,2895.15,15,42,2.19,2.16,5,6,128.0,139.0,-0.032,-0.804,0.369,0.256,-0.021,0.17,-0.117,0.026,7.87,1811.15,1.83,26,126.0,8,2.582618947290573,-0.08
P-Ru,2.69,12.1,689.15,2606.15,15,44,2.19,2.2,5,8,128.0,134.0,-0.044,0.131,0.369,0.256,-0.021,0.122,0.017,0.047,7.87,1811.15,1.83,26,126.0,8,2.4673533822311002,0.072
P-Rh,2.69,12.4,689.15,2236.15,15,45,2.19,2.28,5,9,128.0,134.0,-0.051,0.485,0.369,0.256,-0.021,0.157,0.11,0.066,7.87,1811.15,1.83,26,126.0,8,2.472935173759498,0.122
P-Pd,2.69,12.0,689.15,1827.9499999999998,15,46,2.19,2.2,5,10,128.0,137.0,-0.054,0.295,0.369,0.256,-0.021,0.294,0.217,0.106,7.87,1811.15,1.83,26,126.0,8,2.537735780507993,0.156
P-Sn,2.69,7.287,689.15,505.08,15,50,2.19,1.96,5,4,128.0,163.0,-0.054,-0.194,0.369,0.256,-0.021,0.758,0.114,0.109,7.87,1811.15,1.83,26,126.0,8,2.844849770142307,-0.287
P-Sb,2.69,6.68,689.15,903.778,15,51,2.19,2.05,5,5,128.0,166.0,-0.05,-0.093,0.369,0.256,-0.021,0.749,0.131,0.058,7.87,1811.15,1.83,26,126.0,8,2.893174205605886,-0.416
P-Te,2.69,6.232,689.15,722.66,15,52,2.19,2.1,5,6,128.0,160.0,-0.05,-0.065,0.369,0.256,-0.021,0.801,0.196,0.031,7.87,1811.15,1.83,26,126.0,8,2.949412904385723,-0.425
P-Hf,2.69,13.3,689.15,2506.15,15,72,2.19,1.3,5,4,128.0,159.0,-0.035,-0.51,0.369,0.256,-0.021,0.646,-0.148,0.073,7.87,1811.15,1.83,26,126.0,8,2.676877521532441,0.003
P-Ta,2.69,16.4,689.15,3290.15,15,73,2.19,1.5,5,5,128.0,146.0,-0.031,-0.72,0.369,0.256,-0.021,0.321,-0.18,0.04,7.87,1811.15,1.83,26,126.0,8,2.639134726593702,-0.126
P-W,2.69,19.3,689.15,3687.15,15,74,2.19,1.7,5,6,128.0,139.0,-0.03,-0.752,0.369,0.256,-0.021,0.129,-0.149,0.016,7.87,1811.15,1.83,26,126.0,8,2.5985337453076407,-0.195
P-Re,2.69,20.8,689.15,3458.15,15,75,2.19,1.9,5,7,128.0,137.0,-0.034,-0.63,0.369,0.256,-0.021,0.077,-0.088,0.01,7.87,1811.15,1.83,26,126.0,8,2.560971784957171,-0.201
P-Os,2.69,22.5872,689.15,3306.15,15,76,2.19,2.2,5,8,128.0,135.0,-0.041,-0.204,0.369,0.256,-0.021,0.091,-0.016,0.02,7.87,1811.15,1.83,26,126.0,8,2.5094476658575244,-0.129
P-Ir,2.69,22.5622,689.15,2719.15,15,77,2.19,2.2,5,9,128.0,136.0,-0.048,0.32,0.369,0.256,-0.021,0.135,0.081,0.057,7.87,1811.15,1.83,26,126.0,8,2.498597808117833,-0.026
P-Pt,2.69,21.5,689.15,2041.35,15,78,2.19,2.2,5,10,128.0,139.0,-0.054,0.305,0.369,0.256,-0.021,0.262,0.205,0.094,7.87,1811.15,1.83,26,126.0,8,2.5637683407931986,-0.018
P-Au,2.69,19.3,689.15,1337.33,15,79,2.19,2.4,5,11,128.0,144.0,-0.057,0.135,0.369,0.256,-0.021,0.457,0.297,0.138,7.87,1811.15,1.83,26,126.0,8,2.688333205537345,0.007
P-U,2.69,19.1,689.15,1408.15,15,92,2.19,1.7,5,6,128.0,170.0,-0.028,-1.339,0.369,0.256,-0.021,1.248,0.229,0.073,7.87,1811.15,1.83,26,126.0,8,2.8030868850358015,-0.26
P-Np,2.69,20.2,689.15,917.15,15,93,2.19,1.3,5,7,128.0,171.0,-0.033,-2.776,0.369,0.256,-0.021,1.286,0.247,0.055,7.87,1811.15,1.83,26,126.0,8,2.736831270413489,-0.183
S-S,2.07,2.07,388.36,388.36,16,16,2.58,2.58,6,6,127.0,127.0,0.003,0.004,0.573,0.377,0.004,0.573,0.377,0.004,7.87,1811.15,1.83,26,126.0,8,3.1041879479018832,0.412
S-Sc,2.07,2.99,388.36,1814.15,16,21,2.58,1.36,6,3,127.0,162.0,0.03,-0.461,0.573,0.377,0.004,0.709,-0.121,0.08,7.87,1811.15,1.83,26,126.0,8,2.625490623976011,0.441
S-Ti,2.07,4.506,388.36,1943.15,16,22,2.58,1.54,6,4,127.0,147.0,0.033,-0.913,0.573,0.377,0.004,0.261,-0.16,0.016,7.87,1811.15,1.83,26,126.0,8,2.5865813007218867,0.155
S-V,2.07,6.0,388.36,2183.15,16,23,2.58,1.63,6,5,127.0,134.0,0.032,-1.468,0.573,0.377,0.004,0.056,-0.086,-0.008,7.87,1811.15,1.83,26,126.0,8,2.579477122013492,0.034
S-Cr,2.07,7.15,388.36,2180.15,16,24,2.58,1.66,6,6,127.0,128.0,0.028,-2.113,0.573,0.377,0.004,0.05,0.005,-0.002,7.87,1811.15,1.83,26,126.0,8,2.58272488126716,0.053
S-Mn,2.07,7.3,388.36,1519.15,16,25,2.58,1.55,6,7,127.0,127.0,0.02,-2.573,0.573,0.377,0.004,0.132,0.094,0.019,7.87,1811.15,1.83,26,126.0,8,2.58997845166971,0.184
S-Co,2.07,8.86,388.36,1768.15,16,27,2.58,1.88,6,9,127.0,125.0,0.021,1.585,0.573,0.377,0.004,-0.01,0.113,0.016,7.87,1811.15,1.83,26,126.0,8,2.5340392983739215,0.018
S-Ni,2.07,8.9,388.36,1728.15,16,28,2.58,1.91,6,10,127.0,124.0,0.017,0.778,0.573,0.377,0.004,0.105,0.22,0.046,7.87,1811.15,1.83,26,126.0,8,2.6434096976542465,0.167
S-Cu,2.07,8.96,388.36,1357.77,16,29,2.58,1.9,6,11,127.0,128.0,0.017,0.146,0.573,0.377,0.004,0.254,0.219,0.054,7.87,1811.15,1.83,26,126.0,8,2.73811386820776,0.269
S-Zn,2.07,7.134,388.36,692.6769999999999,16,30,2.58,1.65,6,12,127.0,134.0,0.019,-0.074,0.573,0.377,0.004,0.327,0.112,0.043,7.87,1811.15,1.83,26,126.0,8,2.8076974052518024,0.133
S-Ga,2.07,5.91,388.36,302.91459999999995,16,31,2.58,1.81,6,3,127.0,140.0,0.019,-0.178,0.573,0.377,0.004,0.403,0.093,0.04,7.87,1811.15,1.83,26,126.0,8,2.870104938645217,0.045
S-Ge,2.07,5.3234,388.36,1211.4,16,32,2.58,2.01,6,4,127.0,144.0,0.015,-0.125,0.573,0.377,0.004,0.467,0.158,0.031,7.87,1811.15,1.83,26,126.0,8,2.946672984779604,0.01
S-As,2.07,5.75,388.36,1090.15,16,33,2.58,2.18,6,5,127.0,148.0,0.009,-0.075,0.573,0.377,0.004,0.536,0.228,0.011,7.87,1811.15,1.83,26,126.0,8,2.9995704551161055,0.06
S-Se,2.07,4.819,388.36,494.15,16,34,2.58,2.55,6,6,127.0,140.0,0.002,-0.025,0.573,0.377,0.004,0.675,0.308,0.014,7.87,1811.15,1.83,26,126.0,8,3.028154879958274,0.25
S-Zr,2.07,6.52,388.36,2127.15,16,40,2.58,1.33,6,4,127.0,160.0,0.026,-0.414,0.573,0.377,0.004,0.745,-0.091,0.065,7.87,1811.15,1.83,26,126.0,8,2.6446654138386507,0.358
S-Nb,2.07,8.57,388.36,2750.15,16,41,2.58,1.6,6,5,127.0,146.0,0.027,-0.727,0.573,0.377,0.004,0.395,-0.142,0.053,7.87,1811.15,1.83,26,126.0,8,2.6285025228297423,0.143
S-Mo,2.07,10.2,388.36,2895.15,16,42,2.58,2.16,6,6,127.0,139.0,0.023,-0.853,0.573,0.377,0.004,0.17,-0.117,0.026,7.87,1811.15,1.83,26,126.0,8,2.6052893815044462,0.006
S-Ru,2.07,12.1,388.36,2606.15,16,44,2.58,2.2,6,8,127.0,134.0,0.011,0.113,0.573,0.377,0.004,0.122,0.017,0.047,7.87,1811.15,1.83,26,126.0,8,2.496449787451822,0.076
S-Rh,2.07,12.4,388.36,2236.15,16,45,2.58,2.28,6,9,127.0,134.0,0.008,0.491,0.573,0.377,0.004,0.157,0.11,0.066,7.87,1811.15,1.83,26,126.0,8,2.565328962129637,0.12
S-Pd,2.07,12.0,388.36,1827.9499999999998,16,46,2.58,2.2,6,10,127.0,137.0,0.015,0.326,0.573,0.377,0.004,0.294,0.217,0.106,7.87,1811.15,1.83,26,126.0,8,2.692793920303471,0.219
S-Sn,2.07,7.287,388.36,505.08,16,50,2.58,1.96,6,4,127.0,163.0,0.014,-0.198,0.573,0.377,0.004,0.758,0.114,0.109,7.87,1811.15,1.83,26,126.0,8,2.9212796430371735,0.078
S-Sb,2.07,6.68,388.36,903.778,16,51,2.58,2.05,6,5,127.0,166.0,0.009,-0.096,0.573,0.377,0.004,0.749,0.131,0.058,7.87,1811.15,1.83,26,126.0,8,2.965932249288682,0.016
S-Te,2.07,6.232,388.36,722.66,16,52,2.58,2.1,6,6,127.0,160.0,0.005,-0.071,0.573,0.377,0.004,0.801,0.196,0.031,7.87,1811.15,1.83,26,126.0,8,3.00200286370408,0.059
S-Hf,2.07,13.3,388.36,2506.15,16,72,2.58,1.3,6,4,127.0,159.0,0.029,-0.511,0.573,0.377,0.004,0.646,-0.148,0.073,7.87,1811.15,1.83,26,126.0,8,2.6514604892396223,0.267
S-Ta,2.07,16.4,388.36,3290.15,16,73,2.58,1.5,6,5,127.0,146.0,0.03,-0.741,0.573,0.377,0.004,0.321,-0.18,0.04,7.87,1811.15,1.83,26,126.0,8,2.638108265607107,0.027
S-W,2.07,19.3,388.36,3687.15,16,74,2.58,1.7,6,6,127.0,139.0,0.025,-0.795,0.573,0.377,0.004,0.129,-0.149,0.016,7.87,1811.15,1.83,26,126.0,8,2.6351069935948677,-0.128
S-Re,2.07,20.8,388.36,3458.15,16,75,2.58,1.9,6,7,127.0,137.0,0.017,-0.685,0.573,0.377,0.004,0.077,-0.088,0.01,7.87,1811.15,1.83,26,126.0,8,2.6544275978625986,-0.192
S-Os,2.07,22.5872,388.36,3306.15,16,76,2.58,2.2,6,8,127.0,135.0,0.011,-0.246,0.573,0.377,0.004,0.091,-0.016,0.02,7.87,1811.15,1.83,26,126.0,8,2.63503400493234,-0.155
S-Ir,2.07,22.5622,388.36,2719.15,16,77,2.58,2.2,6,9,127.0,136.0,0.005,0.311,0.573,0.377,0.004,0.135,0.081,0.057,7.87,1811.15,1.83,26,126.0,8,2.6531322725761317,-0.059
S-Pt,2.07,21.5,388.36,2041.35,16,78,2.58,2.2,6,10,127.0,139.0,0.011,0.336,0.573,0.377,0.004,0.262,0.205,0.094,7.87,1811.15,1.83,26,126.0,8,2.785719040712508,0.026
S-Au,2.07,19.3,388.36,1337.33,16,79,2.58,2.4,6,11,127.0,144.0,0.015,0.148,0.573,0.377,0.004,0.457,0.297,0.138,7.87,1811.15,1.83,26,126.0,8,2.8416962513184303,0.185
S-U,2.07,19.1,388.36,1408.15,16,92,2.58,1.7,6,6,127.0,170.0,0.008,-1.478,0.573,0.377,0.004,1.248,0.229,0.073,7.87,1811.15,1.83,26,126.0,8,2.6330241837371604,0.249
S-Np,2.07,20.2,388.36,917.15,16,93,2.58,1.3,6,7,127.0,171.0,0.016,-2.797,0.573,0.377,0.004,1.286,0.247,0.055,7.87,1811.15,1.83,26,126.0,8,2.6211592087518567,0.348
Sc-Sc,2.99,2.99,1814.15,1814.15,21,21,1.36,1.36,3,3,162.0,162.0,-0.542,-0.542,0.709,-0.121,0.08,0.709,-0.121,0.08,7.87,1811.15,1.83,26,126.0,8,2.638433819414468,-0.218
Sc-Ti,2.99,4.506,1814.15,1943.15,21,22,1.36,1.54,3,4,162.0,147.0,-0.544,-0.975,0.709,-0.121,0.08,0.261,-0.16,0.016,7.87,1811.15,1.83,26,126.0,8,2.645931730259898,-0.276
Sc-V,2.99,6.0,1814.15,2183.15,21,23,1.36,1.63,3,5,162.0,134.0,-0.538,-1.45,0.709,-0.121,0.08,0.056,-0.086,-0.008,7.87,1811.15,1.83,26,126.0,8,2.6388268903204204,-0.235
Sc-Cr,2.99,7.15,1814.15,2180.15,21,24,1.36,1.66,3,6,162.0,128.0,-0.516,-1.893,0.709,-0.121,0.08,0.05,0.005,-0.002,7.87,1811.15,1.83,26,126.0,8,2.6317048233324045,-0.149
Sc-Mn,2.99,7.3,1814.15,1519.15,21,25,1.36,1.55,3,7,162.0,127.0,-0.483,-1.904,0.709,-0.121,0.08,0.132,0.094,0.019,7.87,1811.15,1.83,26,126.0,8,2.620485930956995,-0.04
Sc-Co,2.99,8.86,1814.15,1768.15,21,27,1.36,1.88,3,9,162.0,125.0,-0.532,1.594,0.709,-0.121,0.08,-0.01,0.113,0.016,7.87,1811.15,1.83,26,126.0,8,2.5305567692092006,0.072
Sc-Ni,2.99,8.9,1814.15,1728.15,21,28,1.36,1.91,3,10,162.0,124.0,-0.501,0.813,0.709,-0.121,0.08,0.105,0.22,0.046,7.87,1811.15,1.83,26,126.0,8,2.530359252170416,0.151
Sc-Cu,2.99,8.96,1814.15,1357.77,21,29,1.36,1.9,3,11,162.0,128.0,-0.492,0.112,0.709,-0.121,0.08,0.254,0.219,0.054,7.87,1811.15,1.83,26,126.0,8,2.5574215414552404,0.13
Sc-Zn,2.99,7.134,1814.15,692.6769999999999,21,30,1.36,1.65,3,12,162.0,134.0,-0.526,-0.085,0.709,-0.121,0.08,0.327,0.112,0.043,7.87,1811.15,1.83,26,126.0,8,2.609840146563328,0.019
Sc-Ga,2.99,5.91,1814.15,302.91459999999995,21,31,1.36,1.81,3,3,162.0,140.0,-0.509,-0.169,0.709,-0.121,0.08,0.403,0.093,0.04,7.87,1811.15,1.83,26,126.0,8,2.6482374282234535,-0.033
Sc-Ge,2.99,5.3234,1814.15,1211.4,21,32,1.36,2.01,3,4,162.0,144.0,-0.488,-0.104,0.709,-0.121,0.08,0.467,0.158,0.031,7.87,1811.15,1.83,26,126.0,8,2.66065314607491,-0.008
Sc-As,2.99,5.75,1814.15,1090.15,21,33,1.36,2.18,3,5,162.0,148.0,-0.482,-0.052,0.709,-0.121,0.08,0.536,0.228,0.011,7.87,1811.15,1.83,26,126.0,8,2.6533767191655055,0.064
Sc-Se,2.99,4.819,1814.15,494.15,21,34,1.36,2.55,3,6,162.0,140.0,-0.487,0.001,0.709,-0.121,0.08,0.675,0.308,0.014,7.87,1811.15,1.83,26,126.0,8,2.6352145639358433,0.199
Sc-Zr,2.99,6.52,1814.15,2127.15,21,40,1.36,1.33,3,4,162.0,160.0,-0.546,-0.452,0.709,-0.121,0.08,0.745,-0.091,0.065,7.87,1811.15,1.83,26,126.0,8,2.6791252534496572,-0.339
Sc-Nb,2.99,8.57,1814.15,2750.15,21,41,1.36,1.6,3,5,162.0,146.0,-0.526,-0.737,0.709,-0.121,0.08,0.395,-0.142,0.053,7.87,1811.15,1.83,26,126.0,8,2.6725522794357044,-0.329
Sc-Mo,2.99,10.2,1814.15,2895.15,21,42,1.36,2.16,3,6,162.0,139.0,-0.512,-0.798,0.709,-0.121,0.08,0.17,-0.117,0.026,7.87,1811.15,1.83,26,126.0,8,2.654813313843712,-0.27
Sc-Ru,2.99,12.1,1814.15,2606.15,21,44,1.36,2.2,3,8,162.0,134.0,-0.489,0.154,0.709,-0.121,0.08,0.122,0.017,0.047,7.87,1811.15,1.83,26,126.0,8,2.560313755929825,0.039
Sc-Rh,2.99,12.4,1814.15,2236.15,21,45,1.36,2.28,3,9,162.0,134.0,-0.489,0.577,0.709,-0.121,0.08,0.157,0.11,0.066,7.87,1811.15,1.83,26,126.0,8,2.5313554290459725,0.148
Sc-Pd,2.99,12.0,1814.15,1827.9499999999998,21,46,1.36,2.2,3,10,162.0,137.0,-0.491,0.348,0.709,-0.121,0.08,0.294,0.217,0.106,7.87,1811.15,1.83,26,126.0,8,2.549075835056428,0.18
