,Elements,Density_sum,Density_diff,Density_aver,Eneg_sum,Eneg_diff,Eneg_aver,Magnetic_sum,Magnetic_diff,Melting_sum,Melting_diff,Melting_aver,Number_sum,Number_diff,Number_aver,Radius_sum,Radius_diff,Radius_aver,Vacancy_1_sum,Vacancy_1_diff,Vacancy_2_sum,Vacancy_2_diff,Vacancy_3_sum,Vacancy_3_diff,Valence_sum,Valence_diff,Valence_aver,Energy_binding
10,Be-Mn,1.1626429479034308,0.6925031766200761,0.5813214739517154,1.7049180327868851,0.0109289617486338,0.8524590163934426,-2.603,2.379,1.7001904867073407,0.0226375507274383,0.8500952433536704,1.1153846153846154,0.8076923076923077,0.5576923076923077,1.8968253968253967,0.119047619047619,0.9484126984126984,0.239,0.025,0.238,0.0499999999999999,0.011,0.027,1.125,0.625,0.5625,0.004
11,Be-Co,1.3608640406607369,0.8907242693773825,0.6804320203303684,1.8852459016393444,0.169398907103825,0.9426229508196722,1.539,1.801,1.837672197222759,0.11484415978798,0.9188360986113796,1.1923076923076923,0.8846153846153846,0.5961538461538461,1.880952380952381,0.1031746031746031,0.9404761904761904,0.097,0.1169999999999999,0.257,0.0309999999999999,0.008,0.024,1.375,0.875,0.6875,-0.009
12,Be-Ni,1.3659466327827192,0.8958068614993647,0.6829733163913596,1.901639344262295,0.1857923497267758,0.9508196721311476,0.701,0.951,1.8155867818789169,0.0927587444441377,0.9077933909394584,1.2307692307692308,0.9230769230769232,0.6153846153846154,1.873015873015873,0.0952380952380952,0.9365079365079364,0.212,0.002,0.364,0.076,0.038,0.054,1.5,1.0,0.75,0.049
13,Be-Cu,1.3735705209656923,0.9034307496823382,0.6867852604828463,1.896174863387978,0.1803278688524589,0.948087431693989,-0.0079999999999999,0.242,1.611086878502609,0.1117411589321702,0.8055434392513044,1.2692307692307692,0.9615384615384616,0.6346153846153846,1.9047619047619049,0.1269841269841269,0.9523809523809524,0.361,0.147,0.363,0.075,0.046,0.062,1.625,1.125,0.8125,0.187
14,Be-Zn,1.1415501905972043,0.6714104193138501,0.5707750952986023,1.7595628415300544,0.0437158469945354,0.8797814207650272,-0.196,0.05,1.243865499820556,0.4789625376142231,0.621932749910278,1.3076923076923077,1.0,0.6538461538461539,1.9523809523809523,0.1746031746031746,0.9761904761904762,0.434,0.22,0.256,0.0319999999999999,0.0349999999999999,0.051,1.75,1.25,0.875,0.135
15,Be-Ga,0.9860228716645488,0.5158831003811944,0.4930114358322744,1.8469945355191253,0.1311475409836065,0.9234972677595628,-0.283,0.039,1.028663887585236,0.6941641498495431,0.5143319437926179,1.3461538461538465,1.0384615384615383,0.6730769230769231,2.0,0.2222222222222222,1.0,0.51,0.296,0.237,0.0509999999999999,0.032,0.048,0.625,0.125,0.3125,0.102
16,Be-Ge,0.91148665819568,0.4413468869123253,0.4557433290978399,1.9562841530054644,0.2404371584699452,0.9781420765027322,-0.2309999999999999,0.0109999999999999,1.5302708224056538,0.1925572150291251,0.7651354112028269,1.3846153846153846,1.0769230769230769,0.6923076923076923,2.031746031746032,0.2539682539682539,1.0158730158730158,0.5740000000000001,0.36,0.302,0.014,0.023,0.039,0.75,0.25,0.375,0.06
17,Be-As,0.96569250317662,0.4955527318932655,0.48284625158831,2.0491803278688523,0.3333333333333333,1.024590163934426,-0.19,0.0579999999999999,1.463324407144632,0.2595036302901471,0.7316622035723159,1.4230769230769231,1.1153846153846154,0.7115384615384616,2.063492063492064,0.2857142857142857,1.031746031746032,0.643,0.429,0.372,0.084,0.0029999999999999,0.019,0.875,0.375,0.4375,-0.001
18,Be-Se,0.8473951715374841,0.3772554002541295,0.423697585768742,2.251366120218579,0.5355191256830599,1.1256830601092895,-0.142,0.114,1.1342517185213814,0.5885763189133976,0.5671258592606907,1.4615384615384617,1.1538461538461535,0.7307692307692307,2.0,0.2222222222222222,1.0,0.782,0.5680000000000001,0.4519999999999999,0.164,0.006,0.022,1.0,0.5,0.5,0.018
19,Be-Zr,1.0635324015247776,0.5933926302414231,0.5317662007623888,1.5846994535519128,0.1311475409836065,0.7923497267759564,-0.5549999999999999,0.289,2.035888799933744,0.3130607624989647,1.0179443999668718,1.6923076923076923,1.3846153846153846,0.8461538461538461,2.1587301587301586,0.3809523809523809,1.0793650793650793,0.852,0.638,0.0529999999999999,0.235,0.057,0.073,0.75,0.25,0.375,0.052
20,Be-Nb,1.3240152477763658,0.8538754764930115,0.6620076238881829,1.73224043715847,0.0163934426229508,0.8661202185792349,-0.842,0.588,2.3798691439140875,0.6570411064793087,1.1899345719570438,1.7307692307692308,1.4230769230769231,0.8653846153846154,2.0476190476190474,0.2698412698412698,1.0238095238095235,0.502,0.288,0.002,0.286,0.045,0.061,0.875,0.375,0.4375,-0.03
21,Be-Mo,1.531130876747141,1.0609911054637864,0.7655654383735705,2.038251366120219,0.3224043715846995,1.0191256830601094,-0.916,0.676,2.4599287745355163,0.7371007371007371,1.229964387267758,1.7692307692307692,1.4615384615384617,0.8846153846153846,1.992063492063492,0.2142857142857142,0.996031746031746,0.277,0.063,0.0269999999999999,0.261,0.018,0.034,1.0,0.5,0.5,-0.085
22,Be-Ru,1.772554002541296,1.3024142312579414,0.886277001270648,2.060109289617486,0.3442622950819672,1.030054644808743,0.054,0.284,2.3003616486762555,0.5775336112414764,1.1501808243381275,1.8461538461538465,1.5384615384615383,0.9230769230769232,1.9523809523809523,0.1746031746031746,0.9761904761904762,0.2289999999999999,0.015,0.1609999999999999,0.127,0.039,0.055,1.25,0.75,0.625,0.007
23,Be-Rh,1.8106734434561629,1.3405336721728085,0.9053367217280812,2.1038251366120218,0.3879781420765025,1.0519125683060109,0.487,0.731,2.096071556745714,0.373243519310935,1.048035778372857,1.8846153846153848,1.5769230769230769,0.9423076923076924,1.9523809523809523,0.1746031746031746,0.9761904761904762,0.264,0.05,0.254,0.0339999999999999,0.058,0.074,1.375,0.875,0.6875,0.089
24,Be-Pd,1.7598475222363406,1.289707750952986,0.8799237611181703,2.060109289617486,0.3442622950819672,1.030054644808743,0.2279999999999999,0.474,1.8706898931618037,0.1478618557270242,0.9353449465809016,1.9230769230769231,1.6153846153846154,0.9615384615384616,1.9761904761904765,0.1984126984126984,0.988095238095238,0.4009999999999999,0.187,0.361,0.073,0.098,0.1139999999999999,1.5,1.0,0.75,0.152
25,Be-Sn,1.1609911054637865,0.690851334180432,0.5804955527318932,1.92896174863388,0.2131147540983606,0.96448087431694,-0.298,0.0579999999999999,1.1402865582640862,0.5825414791706928,0.5701432791320431,2.076923076923077,1.7692307692307692,1.0384615384615383,2.1825396825396823,0.4047619047619047,1.0912698412698412,0.865,0.651,0.258,0.0299999999999999,0.101,0.1169999999999999,0.75,0.25,0.375,0.157
26,Be-Sb,1.0838627700127064,0.613722998729352,0.5419313850063532,1.978142076502732,0.2622950819672129,0.989071038251366,-0.208,0.034,1.3604218314330672,0.3624062060017116,0.6802109157165336,2.1153846153846154,1.807692307692308,1.0576923076923077,2.2063492063492065,0.4285714285714285,1.1031746031746033,0.856,0.642,0.275,0.0129999999999999,0.05,0.066,0.875,0.375,0.4375,0.049
27,Be-Te,1.0269377382465057,0.5567979669631512,0.5134688691232528,2.0054644808743167,0.2896174863387978,1.0027322404371584,-0.191,0.0569999999999999,1.2604201750269166,0.4624078624078624,0.6302100875134583,2.1538461538461537,1.8461538461538465,1.0769230769230769,2.1587301587301586,0.3809523809523809,1.0793650793650793,0.908,0.6940000000000001,0.3399999999999999,0.052,0.023,0.039,1.0,0.5,0.5,-0.014
28,Be-Hf,1.9250317662007623,1.454891994917408,0.9625158831003812,1.5683060109289615,0.1475409836065573,0.7841530054644809,-0.675,0.411,2.245148110316649,0.5223200728818707,1.1225740551583248,2.923076923076923,2.6153846153846154,1.4615384615384617,2.1507936507936507,0.373015873015873,1.0753968253968254,0.753,0.539,-0.004,0.292,0.065,0.0809999999999999,0.75,0.25,0.375,0.046
29,Be-Ta,2.318932655654384,1.848792884371029,1.159466327827192,1.6775956284153006,0.0382513661202186,0.8387978142076503,-0.868,0.618,2.678022251055959,0.9551942136211798,1.3390111255279795,2.9615384615384617,2.6538461538461537,1.4807692307692308,2.0476190476190474,0.2698412698412698,1.0238095238095235,0.428,0.214,-0.036,0.3239999999999999,0.032,0.048,0.875,0.375,0.4375,-0.066
30,Be-W,2.6874205844980943,2.2172808132147392,1.3437102922490471,1.786885245901639,0.0710382513661201,0.8934426229508197,-0.865,0.631,2.897219998343594,1.1743919609088147,1.448609999171797,3.0,2.6923076923076925,1.5,1.992063492063492,0.2142857142857142,0.996031746031746,0.236,0.022,-0.005,0.293,0.008,0.024,1.0,0.5,0.5,-0.125
31,Be-Re,2.8780177890724272,2.407878017789072,1.4390088945362136,1.896174863387978,0.1803278688524589,0.948087431693989,-0.708,0.488,2.7707809955000964,1.0479529580653175,1.3853904977500482,3.0384615384615383,2.730769230769231,1.5192307692307692,1.9761904761904765,0.1984126984126984,0.988095238095238,0.184,0.03,0.0559999999999999,0.2319999999999999,0.002,0.018,1.125,0.625,0.5625,-0.122
32,Be-Os,3.105108005082592,2.634968233799237,1.552554002541296,2.060109289617486,0.3442622950819672,1.030054644808743,-0.301,0.087,2.686856417193496,0.9640283797587168,1.343428208596748,3.076923076923077,2.769230769230769,1.5384615384615383,1.96031746031746,0.1825396825396825,0.98015873015873,0.198,0.016,0.128,0.1599999999999999,0.012,0.028,1.25,0.75,0.625,-0.051
33,Be-Ir,3.101931385006353,2.6317916137229984,1.5509656925031767,2.060109289617486,0.3442622950819672,1.030054644808743,0.315,0.541,2.36275294702261,0.6399249095878309,1.181376473511305,3.1153846153846154,2.8076923076923075,1.5576923076923077,1.968253968253968,0.1904761904761904,0.984126984126984,0.242,0.028,0.2249999999999999,0.0629999999999999,0.049,0.065,1.375,0.875,0.6875,0.057
34,Be-Pt,2.966963151207116,2.496823379923761,1.483481575603558,2.060109289617486,0.3442622950819672,1.030054644808743,0.253,0.489,1.9885155840212017,0.2656875465864228,0.9942577920106008,3.1538461538461537,2.8461538461538463,1.5769230769230769,1.992063492063492,0.2142857142857142,0.996031746031746,0.369,0.155,0.349,0.061,0.086,0.102,1.5,1.0,0.75,0.118
